8;8,8;7-8;9,571.2,380.8,14D;16I,1;2;3;4
8;9,8;8-8;10,571.2,435.2,14D;16I,5;6;7
8;10,8;9-8;11,571.2,489.6,14D;16I,8;9;10
8;11,8;10-8;12,571.2,544,14D;16I,11;12;13
8;12,8;11-8;13,571.2,598.4,14D;16I,14;15;16;17
8;13,8;12-7;13-9;13,571.2,652.8,None,None
10;1,9;1,734.4,0,19,-2;-1;0
9;1,9;2-8;1-10;1,652.8,0,19,22;23;24
9;2,9;1-9;3,652.8,54.4,17D,1;2;3;4
9;3,9;2-9;4,652.8,108.8,17D,5;6;7
9;4,9;3-9;5,652.8,163.2,17D,8;9;10
9;5,9;4-9;6,652.8,217.6,17D,11;12;13
9;6,9;5-9;7,652.8,272,17D,14;15;16;17
9;7,9;6-9;8-8;7-10;7,652.8,326.4,16D;18I,None
9;8,9;7-9;9,652.8,380.8,16D;18I,1;2;3;4
9;9,9;8-9;10,652.8,435.2,16D;18I,5;6;7
9;10,9;9-9;11,652.8,489.6,16D;18I,8;9;10
9;11,9;10-9;12,652.8,544,16D;18I,11;12;13
9;12,9;11-9;13,652.8,598.4,16D;18I,14;15;16;17
9;13,9;12-8;13-10;13,652.8,652.8,None,None
10;7,10;8-9;7-11;7,734.4,326.4,18D;20I,None
10;8,10;7-10;9,734.4,380.8,18D;20I,1;2;3;4
10;9,10;8-10;10,734.4,435.2,18D;20I,5;6;7
10;10,10;9-10;11,734.4,489.6,18D;20I,8;9;10
10;11,10;10-10;12,734.4,544,18D;20I,11;12;13
10;12,10;11-10;13,734.4,598.4,18D;20I,14;15;16;17
10;13,10;12-9;13-11;13,734.4,652.8,None,None
11;7,11;8-10;7,816,326.4,22D,None
11;8,11;7-11;9,816,380.8,22D,1;2;3;4
11;9,11;8-11;10,816,435.2,22D,5;6;7
11;10,11;9-11;11,816,489.6,22D,8;9;10
11;11,11;10-11;12,816,544,22D,11;12;13
11;12,11;11-11;13,816,598.4,22D,14;15;16;17
11;13,11;12-10;13,816,652.8,None,None
