11I,Pastel_pimiento,Mortadela,jamon_de_pavo,jamon_de_pavo,jamon_de_pavo,jamon_de_pavo,jamon_de_pavo,Pastel_pimiento,Salchicha,Salchicha,Salchicha,Salchicha,Salchicha,Chorizo,Chorizo,Chorizo,Chorizo
11D,Charal,Charal,Huachinango,Huachinango,Huachinango,Huachinango,Huachinango,Bacalao,Bacalao,Bacalao,Bacalao,Camaron,Camaron,Cazon,Cazon,Cazon,Cazon
12I,Curvina,Curvina,Atun,Atun,Curvina,Curvina,Curvina,Jaiba,Jaiba,Jaiba,Jaiba,Almeja,Gurrubata,Gurrubata,Gurrubata,Gurrubata,Gurrubata
12D,Rastrillos_desechables,Rastrillos_desechables,Rastrillos_desechables,Rastrillos_desechables,Rastrillos_desechables,Toalla_femenina,Toalla_femenina,Toalla_femenina,Toalla_femenina,Toalla_femenina,Tinte_para_el_cabello,Tinte_para_el_cabello,Tinte_para_el_cabello,Tinte_para_el_cabello,Tinte_para_el_cabello,Papel_higienico,Papel_higienico
13I,Barra_limpiadora,Barra_limpiadora,Barra_limpiadora,Detergente_ropa,Insecticida_aerosol,Insecticida_aerosol,Detergente_ropa_polvo,Detergente_ropa_polvo,Jabon_limpiador,Jabon_limpiador,Limpiador_liquido,Limpiador_liquido,Jabon_de_pasta,Limpiador_liquido_piso,Toalla_de_papel,Toalla_de_papel,Toalla_de_papel
13D,Acondicionador_de_telas,Detergente_ropa_liquido,Detergente_ropa_liquido,Detergente_ropa_liquido,Detergente_ropa_liquido,Detergente_trastes,Servilletas_de_papel,Servilletas_de_papel,Servilletas_de_papel,Servilletas_de_papel,Suavizante_ropa,Suavizante_ropa,Suavizante_ropa,Suavizante_ropa,Blanqueador,Blanqueador,Blanqueador
14I,Pina,Pina,Platano,Platano,Platano,Platano,Tomate,Tomate,Tomate,Tuna,Tuna,Tuna,Tuna,Tuna,Rabano,Rabano,Rabano
14D,Tomate,Tomate,Uva,Uva,Uva,Uva,Uva,Zanahoria,Zanahoria,Zanahoria,Zanahoria,Zanahoria,Sandia,Sandia,Sandia,Sandia,Sandia
15I,Cerveza,Refresco,Rompope,Rompope,Rompope,Sidra,Sidra,Sidra,Sidra,Sidra,Jugo_de_fruta,Jugo_de_fruta,Agua_con_gas,Agua_con_gas,Agua_con_gas,Agua_con_gas,Agua_con_gas
15D,Jerez,Jerez,Jerez,Bebida_hidratante,Bebida_hidratante,Bebida_hidratante,Bebida_hidratante,Bebida_hidratante,Agua_sin_gas,Agua_sin_gas,Agua_sin_gas,Agua_sin_gas,Agua_sin_gas,Vino_de_mesa,Vino_de_mesa,Vino_de_mesa,Vino_de_mesa
16I,Cochinita_pibil,Salsa,Salsa,Chilorio,Chilorio,Chilorio,Chilorio,Chilorio,Salsa_mexicana,Condimento_de_achiote,Condimento_de_achiote,Condimento_de_achiote,Salsa_inglesa,Salsa_inglesa,Salsa_inglesa,Salsa_inglesa,Salsa_inglesa
16D,Salsa_de_chile,Salsa_de_chile,Salsa_de_chile,Sal,Sal,Sal,Sal,Sal,Sal_molida_de_mesa,Sal_molida_de_mesa,Mole_rojo_en_pasta,Mole_rojo_en_pasta,Mole_rojo_en_pasta,Mole_rojo_en_pasta,Vainilla,Vainilla,Vainilla
17I,Queso_gauda,Queso_gauda,Queso_gauda,Queso_gauda,Queso_gauda,Queso_mantecosi,Queso_mantecosi,Queso_mantecosi,Queso_blanco,Queso_blanco,Queso_blanco,Queso_blanco,Queso_blanco,Leche_pasteurizada,Leche_pasteurizada,Leche_pasteurizada,Leche_pasteurizada
17D,Mantequilla,Crema,Crema,Crema,Huevo,Huevo,Huevo,Huevo,Huevo,Crema_batida,Crema_batida,Crema_batida,Crema_batida,Crema_batida,Leche_condensada,Leche_condensada,Leche_condensada
18I,Yoghurt,Yoghurt,Yoghurt,Leche_en_polvo,Leche_en_polvo,Leche_en_polvo,Leche_en_polvo,Leche_en_polvo,Leche_evaporada,Leche_evaporada,Mantequilla,Mantequilla,Mantequilla,Mantequilla,Leche_ultrapasteurizada,Leche_ultrapasteurizada,Leche_ultrapasteurizada
18D,Chocolate_en_tablillas,Chandell,Chandell,Praline,Praline,Praline,Colacion,Turron,Turron,Polvo_bebida_sabor_chocolate,Torta_Imperial,Flan,Flan,Gelatina_en_polvo,Gelatina_en_polvo,Manjarate,Postre_estilo_flan
19I,Poroto,Garbanzo,Garbanzo,Garbanzo,Garbanzo,Haba,Haba,Haba,Haba,Lenteja,Lenteja,Lenteja,Lenteja,Lenteja
19D,Arroz,Avena,Avena,Avena,Avena,Cereal_mixto,Cereal_mixto,Cereal_mixto,Harina_de_arroz,Harina_de_arroz,Harina_de_arroz,Harina_de_arroz,Harina_de_arroz
