Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots ,,Producto, Slots 
jugo_de_fruta,2,,,,,ternera,1,,,,,mostaza,2,,turrón,5,,pan_tostado,5,,charal,2,,calabaza,2,,leche_evaporada,2,,tocino,4,,rastrillos_desechables,5,,limpiador_líquido,2
refresco,1,,,,,cabeza_de_cerdo,3,,,,,pimienta,1,,,,,pasta_para_sopa,2,,cintilla,1,,castañas,1,,leche_pasteurizada,4,,,,,repuestos_de_navajas,5,,limpiador_lìquido_piso,1
cerveza,1,,,,,carnes_molida_de_cerdo,1,,,,,polvo_p/hornear,2,,,,,pastelillos,3,,curvina,5,,cebolla,2,,leche_ultrapasteurizada,3,,,,,tinte_para_el_cabello,5,,servilletas_de_papel,4
jerez,3,,,,,carnes_molida_de_res,5,,,,,sal,5,,,,,tortilla_de_harina_de_trigo,3,,gurrubata,5,,champiñón,2,,,,,,,,toalla_femenina,5,,suavizante_ropa,4
rompope,3,,,,,cerdo,4,,,,,sal_molida_de_mesa,2,,,,,,,,huachinango,5,,ciruela,4,,,,,,,,toallita_húmeda_limpiadora,2,,toalla_de_papel,3
sidra,5,,,,,chuleta_ahumada_de_cerdo,4,,,,,salsa,2,,,,,,,,jaiba,4,,ciruela_pasa,3,,,,,,,,,,,,
vino_de_mesa,4,,,,,espinazo_de_cerdo,1,,,,,salsa_catsup,2,,,,,,,,langosta,1,,coliflor,4,,,,,,,,,,,,
,,,,,,lomo_de_cerdo,1,,,,,salsa_de_chile,3,,,,,,,,,,,durazno,3,,,,,,,,,,,,
,,,,,,milanesa_de_cerdo,3,,,,,salsa_de_soya,3,,,,,,,,,,,espinacas,3,,,,,,,,,,,,
,,,,,,pata_de_cerdo,4,,,,,salsa_inglesa,5,,,,,,,,,,,fresa,1,,,,,,,,,,,,
,,,,,,pernil,5,,,,,salsa_mexicana,1,,,,,,,,,,,frijoles,2,,,,,,,,,,,,
,,,,,,pavo,5,,,,,salsa_picante,1,,,,,,,,,,,granada,4,,,,,,,,,,,,
,,,,,,pechuga_de_pollo,1,,,,,sopa_y_crema,1,,,,,,,,,,,kiwi,1,,,,,,,,,,,,
,,,,,,pierna_de_pollo,5,,,,,vainilla,3,,,,,,,,,,,lechuga,1,,,,,,,,,,,,
,,,,,,pollo,5,,,,,vinagre,3,,,,,,,,,,,lima,1,,,,,,,,,,,,
,,,,,,pollo_entero,3,,,,,,,,,,,,,,,,,limón,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,mandarina,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,mango,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,manzana,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,melón,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,naranja,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,nuez,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,papa,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,papaya,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,pasa_(uva_pasa),3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,pepino,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,pera,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,pimiento,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,piña,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,plátano,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,rábano,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,sandía,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,tomate,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,tuna,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,uva,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,zanahoria,3,,,,,,,,,,,,
